epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,702.932,0.91731,0.62168,1.12611,0.97474,0.95431,0.98948,0.79865,0.75912,0.39464,1.0281,0.009109,0.009109,0.009109
92,710.778,0.90667,0.61789,1.1255,0.94032,0.91519,0.96323,0.75152,0.84157,0.46312,1.06713,0.0090991,0.0090991,0.0090991
93,718.408,0.90271,0.61756,1.12592,0.96153,0.94897,0.98505,0.77493,0.82624,0.4232,1.06025,0.0090892,0.0090892,0.0090892
94,726.035,0.91012,0.62434,1.12777,0.94334,0.91855,0.95641,0.74446,0.86298,0.52446,1.07888,0.0090793,0.0090793,0.0090793
95,733.638,0.9075,0.63271,1.12221,0.96183,0.9681,0.98707,0.75833,0.9098,0.41592,1.09978,0.0090694,0.0090694,0.0090694
96,741.268,0.89637,0.60162,1.11267,0.96849,0.96973,0.98994,0.79972,0.76721,0.38824,1.02956,0.0090595,0.0090595,0.0090595
97,749.054,0.91159,0.61814,1.12309,0.95308,0.96235,0.98806,0.79938,0.76503,0.40334,1.03068,0.0090496,0.0090496,0.0090496
98,756.684,0.89746,0.61686,1.11359,0.94756,0.94327,0.97878,0.78688,0.75551,0.41229,1.02925,0.0090397,0.0090397,0.0090397
99,764.331,0.89545,0.61802,1.1103,0.94939,0.92006,0.98174,0.78969,0.75743,0.43816,1.0374,0.0090298,0.0090298,0.0090298
100,771.96,0.87405,0.58773,1.10252,0.95594,0.95723,0.98451,0.77928,0.828,0.41145,1.07478,0.0090199,0.0090199,0.0090199
101,779.614,0.86801,0.57762,1.10348,0.97987,0.96379,0.98787,0.79946,0.75993,0.38757,1.02773,0.00901,0.00901,0.00901
102,787.288,0.88683,0.58859,1.11361,0.97457,0.9691,0.98998,0.7995,0.78465,0.37429,1.04179,0.0090001,0.0090001,0.0090001
103,794.935,0.8846,0.60144,1.10842,0.97254,0.96247,0.99135,0.80688,0.75827,0.36696,1.03983,0.0089902,0.0089902,0.0089902
